Testnumber         Lambda
1 & 2.99603
2 & 6.9801
3 & 10.9514
4 & 14.9098
5 & 18.8553
6 & 22.7878
7 & 26.7072
8 & 30.6135
9 & 34.5066
10 & 38.3864
11 & 42.253
12 & 46.1068
13 & 49.9515
14 & 53.8049
15 & 57.719
16 & 61.7815
17 & 66.0733
18 & 70.631
19 & 75.454
20 & 80.5267
21 & 85.8302
22 & 91.3462
23 & 97.0577
24 & 102.949
25 & 109.004
26 & 115.209
27 & 121.549
28 & 128.01
29 & 134.578
30 & 141.238
31 & 147.977
32 & 154.779
33 & 161.632
34 & 168.521
35 & 175.431
36 & 182.349
37 & 189.261
38 & 196.151
39 & 203.007
40 & 209.814
41 & 216.558
42 & 223.225
43 & 229.801
44 & 236.273
45 & 242.626
46 & 248.848
47 & 254.924
48 & 260.842
49 & 266.588
50 & 272.147
51 & 277.508
52 & 282.654
53 & 287.572
54 & 292.247
55 & 296.66
56 & 300.792
57 & 304.62
58 & 308.109
59 & 311.21
60 & 313.86
61 & 316.238
62 & 318.922
63 & 322.137
64 & 325.869
65 & 330.133
66 & 334.986
67 & 340.538
68 & 346.984
69 & 354.711
70 & 364.733
