Testnumber         Lambda
1 &        0.840704568261768
2 &        2.17319275334032
3 &        4.23481838197526
4 &        7.05541807944295
5 &        10.644444438433
6 &        15.004083666556
7 &        20.1331428990875
8 &        26.0284514348925
9 &        32.6854509244563
10 &        40.0984770389036
11 &        48.2609086279497
12 &        57.1652542846536
13 &        66.803207065722
14 &        77.1656820579673
15 &        88.242844305176
16 &        100.024131163619
17 &        112.498271396397
18 &        125.653302372393
19 &        139.476586205055
20 &        153.954825356461
21 &        169.074078044856
22 &        184.819773677168
23 &        201.17672845338
24 &        218.129161240447
25 &        235.660709780614
26 &        253.754447276275
27 &        272.392899377749
28 &        291.558061588939
29 &        311.231417097769
30 &        331.39395503205
31 &        352.026189136965
32 &        373.108176866822
33 &        394.619538880941
34 &        416.539478931501
35 &        438.846804129295
36 &        461.519945572036
37 &        484.536979318665
38 &        507.875647692082
39 &        531.513380891952
40 &        555.427318898532
41 &        579.594333647804
42 &        603.991051457715
43 &        628.593875684873
44 &        653.379009590616
45 &        678.322479394999
46 &        703.400157497053
47 &        728.587785839272
48 &        753.860999394072
49 &        779.195349749878
50 &        804.566328774257
51 &        829.949392331299
52 &        855.319984030468
53 &        880.653558984068
54 &        905.925607550237
55 &        931.111679038563
56 &        956.187405355226
57 &        981.128524564699
58 &        1005.91090434497
59 &        1030.51056531336
60 &        1054.90370419999
61 &        1079.06671684605
62 &        1102.97622100423
63 &        1126.60907891841
64 &        1149.94241966008
65 &        1172.95366119917
66 &        1195.62053218641
67 &        1217.92109342513
68 &        1239.83375900997
69 &        1261.33731711004
70 &        1282.41095037394
71 &        1303.03425593401
72 &        1323.18726498666
73 &        1342.85046192521
74 &        1362.00480300116
75 &        1380.63173448823
76 &        1398.71321032267
77 &        1416.23170919096
78 &        1433.17025103293
79 &        1449.51241292461
80 &        1465.24234429919
81 &        1480.34478145633
82 &        1494.80506129853
83 &        1508.60913421647
84 &        1521.74357602089
85 &        1534.19559878194
86 &        1545.95306038234
87 &        1557.0044725052
88 &        1567.33900664302
89 &        1576.9464974959
90 &        1585.81744275929
91 &        1593.94299766252
92 &        1601.31496145956
93 &        1607.92575085884
94 &        1613.76835089921
95 &        1618.83622404035
96 &        1623.12313512414
97 &        1626.6227886706
98 &        1629.32798989023
99 &        1631.2284307689
100 &        1632.32790222379
