Testnumber         Lambda
1 & 2.99804
2 & 6.99018
3 & 10.976
4 & 14.9556
5 & 18.9288
6 & 22.8956
7 & 26.8561
8 & 30.8102
9 & 34.758
10 & 38.6993
11 & 42.6342
12 & 46.5636
13 & 50.4923
14 & 54.4439
15 & 58.4836
16 & 62.7143
17 & 67.223
18 & 72.0454
19 & 77.1813
20 & 82.6181
21 & 88.3412
22 & 94.3373
23 & 100.595
24 & 107.103
25 & 113.852
26 & 120.833
27 & 128.036
28 & 135.454
29 & 143.078
30 & 150.898
31 & 158.907
32 & 167.097
33 & 175.458
34 & 183.982
35 & 192.66
36 & 201.484
37 & 210.444
38 & 219.532
39 & 228.739
40 & 238.055
41 & 247.471
42 & 256.978
43 & 266.566
44 & 276.227
45 & 285.95
46 & 295.727
47 & 305.547
48 & 315.4
49 & 325.278
50 & 335.171
51 & 345.068
52 & 354.961
53 & 364.839
54 & 374.693
55 & 384.514
56 & 394.291
57 & 404.015
58 & 413.676
59 & 423.266
60 & 432.774
61 & 442.191
62 & 451.509
63 & 460.717
64 & 469.807
65 & 478.77
66 & 487.597
67 & 496.279
68 & 504.807
69 & 513.172
70 & 521.367
71 & 529.383
72 & 537.212
73 & 544.845
74 & 552.274
75 & 559.492
76 & 566.49
77 & 573.261
78 & 579.796
79 & 586.087
80 & 592.127
81 & 597.906
82 & 603.416
83 & 608.648
84 & 613.589
85 & 618.229
86 & 622.551
87 & 626.537
88 & 630.158
89 & 633.369
90 & 636.107
91 & 638.516
92 & 641.186
93 & 644.399
94 & 648.143
95 & 652.43
96 & 657.313
97 & 662.9
98 & 669.384
99 & 677.152
100 & 687.212
