Testnumber         Lambda
1 & 9.80296e+07
2 & 3.92118e+08
3 & 8.82266e+08
4 & 1.56847e+09
5 & 2.45074e+09
6 & 3.52907e+09
7 & 4.80345e+09
8 & 6.27389e+09
9 & 7.9404e+09
10 & 9.80296e+09
11 & 1.18616e+10
12 & 1.41163e+10
13 & 1.6567e+10
14 & 1.92138e+10
15 & 2.20567e+10
16 & 2.50956e+10
17 & 2.83306e+10
18 & 3.17616e+10
19 & 3.53887e+10
20 & 3.92118e+10
21 & 4.32311e+10
22 & 4.74463e+10
23 & 5.18577e+10
24 & 5.64651e+10
25 & 6.12685e+10
26 & 6.6268e+10
27 & 7.14636e+10
28 & 7.68552e+10
29 & 8.24429e+10
30 & 8.82266e+10
31 & 9.42065e+10
32 & 1.00382e+11
33 & 1.06754e+11
34 & 1.13322e+11
35 & 1.20086e+11
36 & 1.27046e+11
37 & 1.34203e+11
38 & 1.41555e+11
39 & 1.49103e+11
40 & 1.56847e+11
41 & 1.64788e+11
42 & 1.72924e+11
43 & 1.81257e+11
44 & 1.89785e+11
45 & 1.9851e+11
46 & 2.07431e+11
47 & 2.16547e+11
48 & 2.2586e+11
49 & 2.35369e+11
50 & 2.45074e+11
51 & 2.54975e+11
52 & 2.65072e+11
53 & 2.75365e+11
54 & 2.85854e+11
55 & 2.9654e+11
56 & 3.07421e+11
57 & 3.18498e+11
58 & 3.29772e+11
59 & 3.41241e+11
60 & 3.52907e+11
61 & 3.64768e+11
62 & 3.76826e+11
63 & 3.8908e+11
64 & 4.01529e+11
65 & 4.14175e+11
66 & 4.27017e+11
67 & 4.40055e+11
68 & 4.53289e+11
69 & 4.66719e+11
70 & 4.80345e+11
71 & 4.94167e+11
72 & 5.08185e+11
73 & 5.224e+11
74 & 5.3681e+11
75 & 5.51417e+11
76 & 5.66219e+11
77 & 5.81218e+11
78 & 5.96412e+11
79 & 6.11803e+11
80 & 6.27389e+11
81 & 6.43172e+11
82 & 6.59151e+11
83 & 6.75326e+11
84 & 6.91697e+11
85 & 7.08264e+11
86 & 7.25027e+11
87 & 7.41986e+11
88 & 7.59141e+11
89 & 7.76493e+11
90 & 7.9404e+11
91 & 8.11783e+11
92 & 8.29723e+11
93 & 8.47858e+11
94 & 8.6619e+11
95 & 8.84717e+11
96 & 9.03441e+11
97 & 9.22361e+11
98 & 9.41476e+11
99 & 9.60788e+11
100 & 9.80296e+11
