Testnumber         Lambda
1 &        319.531
2 &        319.532
3 &        319.533
4 &        319.535
5 &        319.538
6 &        319.54
7 &        319.545
8 &        319.546
9 &        319.555
10 &        319.555
11 &        319.565
12 &        319.569
13 &        319.577
14 &        319.587
15 &        319.591
16 &        319.606
17 &        319.61
18 &        319.622
19 &        319.637
20 &        319.64
21 &        319.659
22 &        319.671
23 &        319.68
24 &        319.701
25 &        319.711
26 &        319.724
27 &        319.748
28 &        319.76
29 &        319.774
30 &        319.8
31 &        319.819
32 &        319.827
33 &        319.856
34 &        319.885
35 &        319.89
36 &        319.916
37 &        319.948
38 &        319.976
39 &        319.98
40 &        320.014
41 &        320.049
42 &        320.083
43 &        320.084
44 &        320.121
45 &        320.158
46 &        320.197
47 &        320.216
48 &        320.236
49 &        320.277
50 &        320.318
51 &        320.36
52 &        320.384
53 &        320.403
54 &        320.447
55 &        320.492
56 &        320.538
57 &        320.585
58 &        320.604
59 &        320.632
60 &        320.681
61 &        320.73
62 &        320.78
63 &        320.831
64 &        320.883
65 &        320.9
66 &        320.936
67 &        320.989
68 &        321.044
69 &        321.099
70 &        321.155
71 &        321.212
72 &        321.27
73 &        321.316
74 &        321.329
75 &        321.388
76 &        321.449
77 &        321.51
78 &        321.572
79 &        321.635
80 &        321.698
81 &        321.763
82 &        321.828
83 &        321.894
84 &        321.944
85 &        321.961
86 &        322.029
87 &        322.098
88 &        322.167
89 &        322.237
90 &        322.308
91 &        322.38
92 &        322.453
93 &        322.527
94 &        322.601
95 &        322.676
96 &        322.752
97 &        322.829
98 &        322.993
99 &        325.095
100 &        331.407
